hotels,cafes,restaurants,guest_houses,tourism_index,town,Governorate
0,1,0,0,3, Bireh,Mount Lebanon
0,0,0,0,0,A'ain El-Mir (El Establ),South
0,0,0,0,0,AAridet Cheikh Zennad,Akkar
0,0,0,0,0,Aaba,North
1,0,0,0,3,Aabadiyeh,Mount Lebanon
0,0,1,0,3,Aabaydat,Keserwan-Jbeil
0,0,0,0,0,Aabba,Nabatieh
4,25,30,2,10,Aabbesiyyi,South
0,2,0,0,3,Aabdine,North
0,0,2,0,3,Aabra Saida,South
0,2,0,2,4,Aabrine,North
0,2,0,0,3,Aachach,North
0,0,10,0,3,Aachqout,Keserwan-Jbeil
0,10,0,0,3,Aadaysseh Marjaayoun,Nabatieh
0,0,0,0,0,Aadchit Ech-Chqif,Nabatieh
0,0,0,0,0,Aadchit El-Qoussair,Nabatieh
0,0,3,0,3,Aadloun,South
0,0,0,0,0,Aadoussiyeh,South
1,1,2,1,10,Aafsdiq,North
0,0,0,0,0,Aain Aanoub,Mount Lebanon
0,0,0,0,0,Aain Aarab Rachaya,Beqaa
0,2,0,0,3,Aain Aata,Beqaa
0,0,0,0,0,Aain Dara,Mount Lebanon
0,1,1,0,6,Aain Drafil,Mount Lebanon
0,0,0,0,0,Aain Ed-Delb,South
0,0,0,0,0,Aain Ed-Delbe,Keserwan-Jbeil
0,0,2,0,3,Aain Ej-Jdideh Aaley,Mount Lebanon
2,0,1,0,6,Aain El Saydeh,Mount Lebanon
0,0,0,0,0,Aain El-Ghouaybeh,Keserwan-Jbeil
0,3,5,0,6,Aain El-Kharroubeh,Mount Lebanon
0,0,0,0,0,Aain El-Qabu,Mount Lebanon
0,0,0,0,0,Aain Er-Rihane,Keserwan-Jbeil
1,2,2,0,9,Aain Er-Roummaneh Aaley,Mount Lebanon
2,1,5,0,9,Aain Es-Sindiane,Mount Lebanon
0,0,0,0,0,Aain Et-Teffaha,Mount Lebanon
0,3,0,0,3,Aain Ez-Zeit,Akkar
1,0,0,0,3,Aain Ez-Zeitouneh,Mount Lebanon
0,0,0,0,0,Aain Fraidis,Mount Lebanon
0,0,0,0,0,Aain Harsha,Beqaa
1,5,6,4,10,Aain Ibl,Nabatieh
0,0,1,0,3,Aain Jarfa,Nabatieh
0,0,0,0,0,Aain Jrain,Keserwan-Jbeil
0,0,0,0,0,Aain Kfaa,Keserwan-Jbeil
0,0,0,0,0,Aain Ksour,Mount Lebanon
0,0,0,0,0,Aain Mouaffaq,Mount Lebanon
0,0,1,0,3,Aain Ouzain,Mount Lebanon
0,0,0,0,0,Aain Qana,Nabatieh
0,0,0,0,0,Aain Qania,Mount Lebanon
0,0,0,0,0,Aain Qinia,Nabatieh
0,0,0,0,0,Aain Saadeh,Mount Lebanon
0,1,0,0,3,Aain Tinta,Akkar
0,0,0,0,0,Aain Traz,Mount Lebanon
0,0,0,0,0,Aain Yaaqoub,Akkar
2,4,6,1,10,Aain Zebdeh,Bekaa
2,2,6,3,10,Aain Zhalta,Mount Lebanon
0,0,0,0,0,Aain challal,Keserwan-Jbeil
0,0,0,0,0,Aainbal,Mount Lebanon
0,2,0,0,3,Aaita Ej-Jabal,Nabatieh
0,3,0,0,3,Aaiyat,Akkar
0,0,0,0,0,Aajaltoun,Keserwan-Jbeil
0,20,6,4,7,Aakkar El-Aatiqa,Akkar
5,20,20,0,9,Aaley,Mount Lebanon
0,0,2,0,3,Aaley Bsatine,Mount Lebanon
0,2,1,0,6,Aalma,North
1,0,2,0,6,Aalma Ech-Chaab,South
0,0,0,0,0,Aalman,Nabatieh
0,1,0,0,3,Aalmane Ech-Chouf,Mount Lebanon
0,3,3,0,6,Aamaret El-Baykat,Akkar
0,3,2,0,6,Aamayer,Akkar
1,3,15,4,10,Aamchit,Keserwan-Jbeil
0,0,1,0,3,Aammatour,Mount Lebanon
0,0,2,0,3,Aammiq Ech-Chouf,Bekaa
0,3,1,0,6,Aana,Bekaa
0,2,2,2,7,Aandqet,Akkar
0,2,3,0,6,Aanout,Mount Lebanon
0,7,2,0,6,Aanqoun,South
0,0,0,0,0,Aaouaainat Aakkar,Akkar
0,0,0,0,0,Aaqabet Rachaya,Beqaa
2,0,20,0,6,Aaqaibeh Kesrouane,Keserwan-Jbeil
0,0,0,0,0,Aaqtanit,South
0,0,0,0,0,Aarab Ej-Jall,South
0,1,1,0,6,Aarab Salim,Nabatieh
0,0,2,0,3,Aarab Tabbaya,South
0,0,1,0,3,Aaraiya,Mount Lebanon
0,5,0,0,3,Aaramoun Kesrouane,Mount Lebanon
0,0,0,0,0,Aaramta,South
0,0,0,0,0,Aaray,South
0,0,0,0,0,Aarbaniyeh,Mount Lebanon
1,1,2,0,9,Aarbet Qozhaiya,North
1,5,15,0,9,Aarjis,North
0,0,0,0,0,Aarqa,Akkar
0,0,0,0,0,Aarsal,Baalbek-Hermel
0,0,0,0,0,Aatchaneh,Mount Lebanon
0,0,0,0,0,Aathrine,Mount Lebanon
0,0,2,0,3,Aaychiyeh,South
0,0,0,0,0,Aayha,Beqaa
0,0,0,0,0,Aaynab,Mount Lebanon
0,0,0,5,1,Aaynata Baalbek,Baalbek-Hermel
0,3,1,0,6,Aaynata Bent Jbeil,Nabatieh
0,4,2,0,6,Aayoun Aakkar,Akkar
0,0,0,0,0,Aayoun El-Ghizlane,Akkar
0,0,0,0,0,Aayoun El-Matn,Mount Lebanon
0,0,0,0,0,Aayroun,Mount Lebanon
0,5,6,0,6,Aayta Ech-Chaab,Nabatieh
0,0,1,0,3,Aayta El-Foukhar,Beqaa
0,0,2,1,4,Aaytanit,Bekaa
0,0,1,0,3,Aaytat,Mount Lebanon
0,0,0,0,0,Aaytit,South
2,0,2,0,6,Aazour,South
1,0,2,0,6,Aazra ouel Aazr,Keserwan-Jbeil
0,0,0,0,0,Aazzi,Nabatieh
0,0,0,0,0,Abou Mizan,Mount Lebanon
4,4,10,2,10,Abou Qamha,Nabatieh
0,0,0,0,0,Adma Oua Dafine,Keserwan-Jbeil
0,0,0,0,0,Adonis,Keserwan-Jbeil
0,2,0,0,3,Afqa Jbeil,Keserwan-Jbeil
0,0,0,0,0,Ain Aakrine,North
0,0,0,0,0,Aintoura El-Matn,Mount Lebanon
0,0,2,1,4,Aintoura Kesrouane,Keserwan-Jbeil
0,0,0,0,0,Aintourine,North
0,0,0,0,0,Aitaroun,Nabatieh
0,2,6,0,6,Alaq,Baalbek-Hermel
0,2,0,0,3,Almat,Keserwan-Jbeil
0,4,0,0,3,Amara,Akkar
0,5,8,0,6,Amioun,North
2,4,4,0,9,Anane,South
1,6,3,0,9,Ansar,Nabatieh
0,0,0,0,0,Ansar Baalbeck,Baalbek-Hermel
0,0,0,0,10,Antelias-Naccache,Mount Lebanon
1,0,1,0,6,Arnoun,Nabatieh
0,0,0,0,0,Arsoun,Mount Lebanon
0,4,2,0,6,Arzai,South
0,0,0,0,0,Arzoun,South
0,0,0,0,0,Asnoun,North
0,0,1,0,3,Assia,North
0,1,1,0,6,Ayto,North
0,0,0,0,0,Baabda-Louaizi,Mount Lebanon
0,0,0,0,0,Baabdat,Mount Lebanon
0,0,1,2,4,Baadarane,Mount Lebanon
2,10,39,1,10,Baalbek,Baalbek-Hermel
0,0,0,0,0,Baalchmay,Mount Lebanon
0,0,0,0,0,Baaloul West Bekaa,Bekaa
0,0,1,0,3,Baaouerta,Mount Lebanon
0,5,20,0,6,Baaqline,Mount Lebanon
0,0,0,0,0,Baassir,Mount Lebanon
0,5,5,1,7,Bab Mareaa,Bekaa
0,7,2,0,6,Babliyeh,South
0,0,0,0,0,Badbhoun,North
0,2,0,0,3,Baghdadi,Akkar
0,0,0,0,0,Bahbouch,North
0,3,7,20,7,Baisour,Mount Lebanon
0,0,0,0,0,Baisour Jezzine,South
0,0,0,0,0,Bakka,Beqaa
0,0,0,0,0,Bakkifac Rachaya,Beqaa
0,3,10,0,6,Balloune,Keserwan-Jbeil
0,0,1,0,3,Bane,North
0,0,0,0,0,Bany haiyane,Nabatieh
0,0,0,0,0,Baouchriyeh el Sad,Mount Lebanon
0,0,0,0,0,Baraachit,Nabatieh
0,0,0,0,0,Barghoun,North
0,13,3,0,6,Barja,Mount Lebanon
0,0,0,0,0,Barqa,Baalbek-Hermel
0,0,0,0,0,Barsa,North
0,1,0,0,3,Basateen Aakar,Akkar
3,10,10,2,10,Baskinta,Mount Lebanon
0,0,0,0,0,Bater,Mount Lebanon
0,0,2,0,3,Batha,Keserwan-Jbeil
1,0,2,0,6,Batloun,Mount Lebanon
0,12,4,0,6,Batoulay,South
0,0,0,0,0,Batroumine,North
3,20,20,15,10,Batroun,North
0,0,0,0,0,Bayzoun,Keserwan-Jbeil
2,0,4,2,7,Bazaaoun,North
0,0,0,0,0,Bazouriyeh,South
0,0,0,0,0,Bchamoun,Mount Lebanon
0,0,0,0,0,Bchannine,North
15,5,20,3,10,Bcharreh,North
0,3,1,2,7,Bcheaali,North
0,2,0,1,4,Bchtfine,Mount Lebanon
0,2,0,4,4,Bdadoun,Mount Lebanon
0,0,0,0,0,Bdebba,North
0,5,2,3,7,Bebnine,Akkar
0,0,0,0,0,Bechmizzine,North
4,2,7,1,10,Bechouat,Baalbek-Hermel
0,1,3,0,6,Bechtoudar,North
0,0,0,0,0,Bedghan Oua Ouadi Bedghan,Mount Lebanon
0,0,0,0,0,Bedias,South
0,0,2,0,3,Bednayel El-Koura,North
0,0,0,0,0,Behdaydat,Keserwan-Jbeil
0,0,0,1,1,Behnine,South
2,2,3,0,9,Beino,Akkar
0,2,0,0,3,Beit Ayoub,Akkar
0,0,0,0,0,Beit Chama,Baalbek-Hermel
0,0,7,0,3,Beit Chlala,North
1,0,3,1,7,Beit Ed-Dine,Mount Lebanon
0,0,0,0,0,Beit El Haj,Akkar
0,0,0,0,0,Beit El-Haouch,Akkar
1,3,6,0,9,Beit El-Kekko,Mount Lebanon
0,0,0,0,0,Beit Hbaq,Keserwan-Jbeil
1,0,0,0,3,Beit Kassab,North
0,0,0,0,0,Beit Lahia,Beqaa
7,3,4,0,9,Beit Lif,Nabatieh
1,1,1,0,9,Beit Mellat,Akkar
3,5,5,0,9,Beit Meri,Mount Lebanon
0,0,0,0,0,Beit Monzer,North
1,4,1,0,9,Beit Obeid,North
0,0,0,0,0,Beit Yahoun,Nabatieh
0,0,0,0,0,Beit Younes,Akkar
0,0,0,0,0,Bejjeh,Keserwan-Jbeil
0,0,0,0,0,Bekhaaz,Keserwan-Jbeil
0,0,0,0,0,Benouati Jezzine,South
1,2,4,1,10,Bent Jbeil,Nabatieh
0,0,0,0,0,Beqaata Aachqout,Keserwan-Jbeil
0,0,0,0,0,Beqaata Kanaan,Keserwan-Jbeil
0,0,0,0,0,Berbara Aakkar,Akkar
2,0,0,1,4,Berbara Jbeil,Keserwan-Jbeil
0,0,0,0,0,Berhalioun,North
0,0,0,0,0,Berti,South
0,0,0,0,0,Beslouqit,North
0,0,1,0,3,Besri Jezzine,South
0,0,0,0,0,Bestiyat,South
0,3,0,0,3,Bezbina,Akkar
0,0,0,0,0,Bhamdoun Ed-Dayaa,Mount Lebanon
4,3,2,3,10,Bhamdoun El-Mhatta,Mount Lebanon
3,0,10,1,10,Bhersaf,Mount Lebanon
0,0,1,0,3,Bichtlida,Keserwan-Jbeil
0,1,2,0,6,Bijdarfil,North
0,0,0,0,0,Bikfaya,Mount Lebanon
0,0,0,0,0,Binnay,Mount Lebanon
0,0,0,0,0,Bintaael,Keserwan-Jbeil
1,6,3,0,9,Biret Aakkar,Akkar
0,0,0,0,0,Biret Rachaya,Beqaa
0,0,0,0,0,Bisrin,Mount Lebanon
0,3,4,0,6,Bissariyeh,South
0,0,0,0,0,Biyad,South
0,2,0,0,3,Bizhel,Keserwan-Jbeil
12,5,20,0,9,Bkassine,South
0,0,0,0,0,Bkeftine,North
0,0,0,0,0,Bkhichtay,Mount Lebanon
0,0,2,0,3,Blaouza,North
0,0,0,0,0,Blat Marjaayoun,Nabatieh
0,0,1,0,3,Blaybel,Mount Lebanon
0,0,0,0,0,Blida,Nabatieh
0,1,2,6,7,Bmahray,Mount Lebanon
2,1,0,0,6,Bmakine,Mount Lebanon
3,1,4,0,9,Bmaryam,Mount Lebanon
0,0,0,0,0,Bnaafoul,South
0,1,2,5,7,Bnabil,Mount Lebanon
0,0,0,0,0,Bnehran,North
0,0,0,0,0,Bnoueiti,Mount Lebanon
0,0,0,0,0,Bohayra,North
0,0,0,0,0,Bohwara,Mount Lebanon
0,2,6,1,7,Borj Aakkar,Akkar
2,0,5,0,6,Borj El-Moulouk,Nabatieh
3,4,8,0,9,Borj En-Naqoura,South
0,13,3,0,6,Borj Rahhal,South
0,0,0,0,0,Borj qalaouiyeh,Nabatieh
0,0,0,0,0,Botmeh,Mount Lebanon
1,0,1,0,6,Bouaida,Nabatieh
2,0,1,0,6,Bouar,Keserwan-Jbeil
0,0,0,0,0,Boulhos,Keserwan-Jbeil
0,4,5,0,6,Bourj El Arab,Akkar
2,20,20,0,9,Bourj El-Brajneh,Mount Lebanon
0,0,0,0,0,Bourj Hammoud,Mount Lebanon
0,3,1,0,6,Bourjein,Mount Lebanon
0,0,2,0,3,Boussit,North
0,0,0,0,0,Boustane,South
0,0,0,0,0,Boustane Heresh,Akkar
0,0,0,0,0,Boutchay,Mount Lebanon
0,0,3,1,4,Bqaa Kafra,North
0,2,0,0,3,Bqaatouta,Keserwan-Jbeil
20,20,30,10,10,Bqerqacha,North
0,2,5,0,6,Bqerzla,Akkar
0,2,3,0,6,Bqosta,South
0,4,0,0,3,Braiqeaa,Nabatieh
0,1,0,0,3,Bramiyeh,South
0,1,0,0,3,Breissat,North
0,0,0,3,1,Brih,Mount Lebanon
0,5,13,0,6,Brital,Baalbek-Hermel
0,0,0,0,0,Broummana El-Matn,Mount Lebanon
0,0,1,0,3,Bsaba Baabda,Mount Lebanon
0,0,1,0,3,Bsaba Ech-Chouf,Mount Lebanon
2,1,5,0,9,Bsalim,Mount Lebanon
0,0,0,0,0,Bsalya,South
0,2,0,0,3,Bsarma,North
0,0,0,0,0,Bsous,Mount Lebanon
0,0,0,0,0,Btaaboura,North
0,0,1,0,6,Btalloun,Mount Lebanon
0,0,0,0,0,Btater,Mount Lebanon
0,0,0,0,0,Btedaai,Baalbek-Hermel
0,0,0,0,3,Btedine El-Leqch,South
0,2,1,0,6,Bteghrine,Mount Lebanon
0,0,0,10,1,Btekhnay,Mount Lebanon
2,2,0,2,7,Bterram,North
0,2,1,0,6,Btouratij,North
0,0,0,0,0,Byaqout,Mount Lebanon
0,4,0,0,3,Bzal,Akkar
0,0,0,0,0,Bziza,North
1,0,0,0,3,Bzoummar,Keserwan-Jbeil
0,5,0,0,3,Chaaitiyeh-Malkiyah,South
0,0,0,0,0,Chaat,Baalbek-Hermel
0,3,2,0,6,Chadra,Akkar
0,0,0,0,0,Chahtoul,Keserwan-Jbeil
0,0,0,0,0,Chamaa,South
0,0,0,0,0,Chamate,Keserwan-Jbeil
0,2,0,0,3,Chanay,Mount Lebanon
0,2,0,0,3,Chane,Akkar
0,0,0,0,0,Chaouiyeh,Mount Lebanon
0,1,0,0,3,Chaqdouf,Akkar
0,1,1,0,6,Charbila,Akkar
0,0,0,0,0,Charbine El-Hermel,Baalbek-Hermel
1,1,2,0,9,Charoun,Mount Lebanon
0,0,1,1,4,Charqiyeh,Nabatieh
0,0,0,0,0,Chartoun,Mount Lebanon
0,1,3,0,6,Chebaa,Nabatieh
0,0,5,0,3,Chehabiyeh,South
0,0,0,0,0,Chehour,South
0,0,0,0,0,Cheikh Ayash,Akkar
0,7,0,0,3,Cheikh Mohammad,Akkar
0,0,0,0,0,Cheikh Taba,Akkar
0,0,0,0,0,Cheikh Zennad,Akkar
0,3,2,0,6,Cheikhlar,Akkar
0,2,1,0,6,Chhim,Mount Lebanon
0,0,5,0,3,Chibtine,North
0,0,0,0,0,Chihine,South
0,0,0,0,0,Chikhane,Keserwan-Jbeil
0,0,0,0,0,Chikka,North
0,1,3,0,6,Chimlane,Mount Lebanon
1,3,4,0,9,Chiyah,Mount Lebanon
0,0,2,0,3,Chlifa,Baalbek-Hermel
0,0,0,0,0,Chmistar,Baalbek-Hermel
0,0,0,0,0,Chnanaair,Keserwan-Jbeil
0,1,5,0,6,Choualiq Jezzine,South
0,0,3,0,3,Chouaya Hasbaiya,Nabatieh
0,0,0,0,0,Chouaya Maten,Mount Lebanon
5,10,20,0,9,Choueifat El-Aamrousiyeh,Mount Lebanon
0,0,0,0,0,Chouit,Mount Lebanon
0,4,2,0,6,Choukine,Nabatieh
0,0,0,0,0,Chourit,Mount Lebanon
0,0,0,0,0,Daghleh,Akkar
2,5,3,1,10,Dahr El-Ahmar,Beqaa
0,0,0,0,0,Dahr El-Maghara,Mount Lebanon
0,0,0,0,0,Dahr El-Qanbar,Akkar
0,2,2,0,6,Dahr Es-Souane El-Matn,Mount Lebanon
0,1,2,0,6,Dahr Laissine,Akkar
0,3,0,0,3,Dalhoun,Mount Lebanon
0,0,0,0,0,Damalsa,Keserwan-Jbeil
2,4,5,0,9,Damour,Mount Lebanon
0,0,0,0,0,Daoura,Akkar
0,0,0,0,0,Daqqoun,Mount Lebanon
0,0,0,0,0,Dar Baaechtar,North
0,0,0,0,0,Dar Chmizzine,North
0,0,0,0,0,Daraaoun,Keserwan-Jbeil
0,2,3,0,6,Daraiya Ech-Chouf,Mount Lebanon
0,0,0,0,0,Daraiya Kesrouane,Keserwan-Jbeil
0,0,0,0,0,Darb Es-Sim,South
0,0,0,0,0,Darine,Akkar
0,0,0,0,0,Dayshouniyi,Mount Lebanon
0,0,0,0,0,Debaal Sour,South
0,2,3,0,6,Debl,Nabatieh
0,3,0,0,3,Deddeh,North
0,0,0,0,0,Deir Aames,South
0,0,0,0,0,Deir Baba,Mount Lebanon
0,0,1,0,3,Deir Billa,North
0,0,0,0,0,Deir Chamra,Mount Lebanon
0,4,5,0,6,Deir Dalloum,Akkar
1,2,2,0,9,Deir Dourit,Mount Lebanon
0,0,0,0,0,Deir El-Aachayer,Beqaa
3,3,12,50,10,Deir El-Ahmar,Baalbek-Hermel
0,2,1,0,6,Deir El-harf,Mount Lebanon
0,0,0,0,0,Deir Ez-Zahrani,Nabatieh
0,1,2,0,6,Deir Jannine,Akkar
0,0,0,0,0,Deir Kifa,South
0,0,2,0,3,Deir Koucheh,Mount Lebanon
0,0,0,0,0,Deir Mimas,Nabatieh
0,4,0,0,3,Deir Ntar,Nabatieh
0,7,0,0,3,Deir Qanoun El-Aain,South
0,10,3,0,6,Deir Qanoun En-Nahr,South
0,0,0,0,0,Deir Qoubel,Mount Lebanon
0,3,2,0,6,Deir Siriane,Nabatieh
0,0,0,0,0,Dekouaneh,Mount Lebanon
0,0,1,0,3,Dellafeh,Nabatieh
0,0,0,0,0,Derdaghaiya,South
0,0,0,0,0,Dfoun,Mount Lebanon
0,0,0,0,0,Dhayra,South
0,3,0,0,3,Dhour el hawa,North
0,4,3,0,6,Dibbabiyeh,Akkar
0,0,0,0,0,Dibbine,Nabatieh
2,3,4,0,9,Dibbiyeh,Mount Lebanon
0,0,0,0,0,Dik El-Mehdi,Mount Lebanon
0,3,1,0,6,Dimane,North
0,0,0,0,0,Dlebta,Keserwan-Jbeil
0,0,3,1,4,Dmit,Mount Lebanon
0,0,0,0,0,Douair Aadouiyeh,Akkar
0,0,0,0,0,Douair En-Nabatiyeh,Nabatieh
4,1,6,3,10,Douma,North
0,1,6,0,6,Douris,Baalbek-Hermel
0,0,2,0,3,Edde El-Batroun,North
0,2,0,0,3,Eddeh Jbeil,Keserwan-Jbeil
0,1,2,0,6,Eghbe,Keserwan-Jbeil
1,3,6,7,10,Ehmej,Keserwan-Jbeil
0,3,0,0,3,Ein el Dahab,Akkar
0,0,0,0,0,El Ain,Baalbek-Hermel
0,0,0,0,0,El Ghabe,Mount Lebanon
0,0,0,0,0,El Kfeir,Nabatieh
0,0,2,0,3,El Manara,Bekaa
0,0,0,0,0,El Marej,Bekaa
0,0,0,0,0,En-Nahriyyi,Akkar
1,4,14,4,10,Enfeh,North
0,0,0,0,0,Erkay,South
0,0,0,0,0,Falougha,Mount Lebanon
1,0,2,0,6,Fanar,Mount Lebanon
3,5,6,20,10,Faraya,Keserwan-Jbeil
0,0,0,0,0,Fard,Akkar
2,20,5,5,10,Fardis Hasbaiya,Nabatieh
1,0,3,15,7,Fatqa,Keserwan-Jbeil
0,0,0,10,1,Fatre,Keserwan-Jbeil
0,0,0,0,0,Faytroun,Keserwan-Jbeil
1,5,4,0,9,Fekehe,Baalbek-Hermel
0,0,0,0,0,Ferhet,Keserwan-Jbeil
1,1,2,0,9,Fghal,Keserwan-Jbeil
0,0,1,0,3,Fiaa,North
0,0,0,0,0,Fisan,Baalbek-Hermel
1,10,2,10,10,Fnaydek,Akkar
0,1,1,0,6,Fouara,Mount Lebanon
0,2,0,0,3,Fraides,Akkar
0,0,0,0,0,Fraikeh,Mount Lebanon
5,20,40,20,10,Fraudis Ech-Chouf,Mount Lebanon
0,0,0,0,0,Froun,Nabatieh
0,6,32,0,6,Furn Ech-Chebbak,Mount Lebanon
0,0,0,0,0,Ghabat,Keserwan-Jbeil
0,0,0,0,0,Ghaboune,Mount Lebanon
1,0,1,2,7,Ghalboun,Keserwan-Jbeil
0,0,1,0,3,Ghandouriyet Bent Jbeil,Nabatieh
0,0,0,0,0,Gharzouz,Keserwan-Jbeil
0,0,0,0,0,Ghassaniyeh,South
0,0,0,0,0,Ghazayleh,Akkar
0,0,0,0,0,Ghazir,Keserwan-Jbeil
0,5,15,0,6,Ghaziyeh,South
0,3,10,0,6,Ghazzeh,Bekaa
1,1,3,0,9,Ghbaet Bolonya,Mount Lebanon
0,4,1,1,7,Ghbaleh Kesrouane,Keserwan-Jbeil
0,0,0,0,0,Ghbatiyeh,South
0,2,1,0,6,Ghidras,Keserwan-Jbeil
1,2,3,0,9,Ghineh,Keserwan-Jbeil
4,90,83,0,9,Ghobairi,Mount Lebanon
0,2,0,0,3,Ghoifine,Keserwan-Jbeil
0,3,0,0,6,Ghosta,Keserwan-Jbeil
0,1,8,0,6,Habbouch En-Nabatiyeh,Nabatieh
0,0,0,0,0,Habil,Keserwan-Jbeil
0,0,0,0,0,Hadath Baalback,Baalbek-Hermel
2,2,5,2,10,Hadath Ej-Jebbeh,North
1,50,50,0,9,Hadath-Sbeineh,Mount Lebanon
0,0,0,0,0,Hadchit,North
0,0,0,0,0,Haddatha,Nabatieh
0,0,1,0,3,Hajjeh,South
0,0,0,0,0,Hakel,Keserwan-Jbeil
1,3,3,0,9,Hakour,Akkar
0,0,0,0,0,Halate,Keserwan-Jbeil
0,20,5,0,6,Halba,Akkar
0,0,0,0,0,Halbata,Baalbek-Hermel
0,0,0,0,0,Halloussiyeh,South
1,0,0,0,3,Hamat,North
3,7,15,10,10,Hammana,Mount Lebanon
0,2,1,0,6,Hanaouay,South
0,0,0,0,0,Hanine,Nabatieh
0,0,0,0,0,Haouch El Qinnabeh Rachaya,Beqaa
0,0,0,0,0,Haouch El-Harime,Bekaa
0,0,0,0,0,Haouch En-Nabi,Baalbek-Hermel
0,2,2,0,6,Haouch Er-Rafqa,Baalbek-Hermel
0,0,0,0,0,Haouch Snaid,Baalbek-Hermel
0,2,1,0,6,Haouch Tall Safiyeh,Baalbek-Hermel
0,0,0,0,0,Haouche Barada,Baalbek-Hermel
0,0,0,0,0,Harabta,Baalbek-Hermel
0,0,0,0,0,Haret Es-Sit,Mount Lebanon
0,0,0,0,0,Haret Fouar,North
0,90,72,0,6,Haret Hreik,Mount Lebanon
0,4,0,0,3,Haret Jandal,Mount Lebanon
0,25,15,0,6,Haret Saida,South
0,0,0,0,0,Harf,South
0,0,0,0,0,Haris,Nabatieh
0,4,3,0,6,Harouf,Nabatieh
0,7,7,0,7,Hasbaiya,Nabatieh
0,0,0,0,0,Hasbaiya El-Matn,Mount Lebanon
0,4,0,0,3,Hasrayel,Keserwan-Jbeil
2,3,6,2,10,Hasroun,North
0,0,0,0,0,Hasrout,Mount Lebanon
0,0,0,0,0,Hayshe,Akkar
0,1,3,0,6,Hayssa,Akkar
0,0,0,0,0,Haytla,Akkar
0,1,0,0,3,Haytoura,South
0,3,0,0,3,Hayzouq,Akkar
0,0,0,0,0,Hazmiyah,Mount Lebanon
0,0,0,0,0,Hdeine,Keserwan-Jbeil
0,2,0,0,3,Hebbariyeh,Nabatieh
0,1,0,0,3,Hedd,Akkar
0,0,0,2,1,Helouet Rachaya,Beqaa
0,0,0,0,0,Henniyeh,South
1,2,3,0,9,Heri,North
2,40,40,0,9,Hermel,Baalbek-Hermel
0,0,0,0,0,Hidab,South
0,1,0,0,3,Hilan,North
0,0,0,0,0,Himlaya,Mount Lebanon
0,0,0,0,0,Hizzine,Baalbek-Hermel
0,0,0,0,0,Hjoula,Keserwan-Jbeil
0,2,0,0,3,Hlaliyeh ,Mount Lebanon
0,0,0,0,0,Hlaliyeh Saida,South
0,2,0,0,3,Hmaireh Aakkar,Akkar
0,0,0,0,0,Hmairi Sour,South
0,2,1,0,6,Hocheb,Akkar
0,0,0,0,0,Homsiyeh,South
0,0,0,0,0,Houaich,Akkar
0,0,0,0,0,Houla,Nabatieh
0,2,2,0,6,Houmine El-Faouqa,Nabatieh
0,3,2,0,6,Houmine Et-Tahta,Nabatieh
0,0,0,0,0,Hrajel,Keserwan-Jbeil
1,10,4,0,9,Hrar,Akkar
0,0,0,0,0,Hsarat,Keserwan-Jbeil
0,0,0,0,0,Hsayn,Keserwan-Jbeil
0,0,0,0,0,Hsoun,Keserwan-Jbeil
1,3,9,0,9,Iaat,Baalbek-Hermel
0,0,0,0,6,Ibl Es-Saqi,Nabatieh
0,4,4,0,6,Idbil,Akkar
0,2,1,0,6,Ighmid,Mount Lebanon
0,0,0,3,1,Ijbaa,North
0,1,0,0,3,Ijdaabrine,North
0,2,0,0,3,Ilat,Akkar
0,5,3,0,6,Insariyeh,South
0,0,0,0,0,Jaaita,Keserwan-Jbeil
3,0,3,0,6,Jadra,Mount Lebanon
0,0,0,0,0,Jahliyeh,Mount Lebanon
0,0,3,0,3,Jaj,Keserwan-Jbeil
3,5,15,2,10,Jall Ed-Dib,Mount Lebanon
0,0,0,0,0,Janneh Mar Sarkis,Keserwan-Jbeil
