hotels,cafes,restaurants,guest_houses,tourism_index,town,Governorate
0,0,1,0,3,Jarbata,North
2,3,5,0,9,Jarjouaa,Nabatieh
1,0,1,0,6,Jarmaq,South
0,0,0,0,0,Jbaa En-Nabatiyeh,Mount Lebanon
1,3,5,5,10,Jbaa En-Nabatiyeh-Ein-Boswar,Nabatieh
0,1,0,0,3,Jbal El-Botm,South
8,24,64,0,9,Jbeil,Keserwan-Jbeil
0,0,0,0,0,Jbouleh,Baalbek-Hermel
0,0,1,0,3,Jdaidet Ghazir,Keserwan-Jbeil
1,4,10,2,10,Jdaidet Marjaayoun,Nabatieh
0,0,2,0,3,Jdeidet Ech-Chouf,Mount Lebanon
0,2,0,0,3,Jdidet Ej-Joumeh,Akkar
1,3,0,0,6,Jebrayel,Akkar
0,0,0,1,1,Jenjlaya,South
0,0,0,0,0,Jennata,South
0,0,1,0,3,Jensnaya,South
0,6,0,0,3,Jenta,Baalbek-Hermel
0,0,0,0,0,Jeoddayel Jbeil,Keserwan-Jbeil
0,2,2,0,6,Jermanya,Akkar
0,0,0,1,1,Jernaya,South
3,4,4,3,10,Jezzine-Ain Majdelin,South
0,0,0,0,0,Jibchit,Nabatieh
3,10,15,2,10,Jiyeh,Mount Lebanon
0,0,0,0,0,Jmailiyeh,Mount Lebanon
0,5,3,0,6,Jouaiya,South
0,2,3,0,6,Jouar El-Haouz,Mount Lebanon
0,12,2,0,6,Joubb Jannine,Bekaa
0,0,0,0,0,Joun,Mount Lebanon
0,0,0,0,0,Jounie ,Keserwan-Jbeil
0,1,1,0,6,Jouret Arsoun,Mount Lebanon
1,0,1,0,6,Jouret Bedrane,Keserwan-Jbeil
0,0,0,0,0,Jouret E-Tourmos,Keserwan-Jbeil
0,0,1,0,3,Jouret El-Ballout,Mount Lebanon
0,0,0,0,0,Kafr,Keserwan-Jbeil
0,4,0,0,3,Kafr Harra,Akkar
0,0,0,0,0,Kafr Hatna,North
0,0,0,0,0,Kafr Jarrah,South
0,1,0,0,3,Kafr Saroun,North
0,0,0,0,0,Kafr horra,North
0,4,2,0,6,Kafra Bent Jbeil,Nabatieh
0,1,1,0,6,Kafraiya West Bekaa,Bekaa
0,1,0,0,3,Kafraya El-Koura,North
0,0,0,0,0,Kafrkida,Keserwan-Jbeil
0,0,0,0,0,Kafrnoun,Akkar
0,0,0,0,0,Kafrya,South
0,1,1,9,7,Kaftoun,North
0,0,0,0,0,Kahhaleh,Mount Lebanon
0,0,0,0,0,Kahlouniet Ech-Chouf,Mount Lebanon
0,10,5,0,6,Kamed El-Laouz,Bekaa
0,0,0,0,0,Kaoukaba Bou Arab,Beqaa
0,2,0,1,4,Kaoukaba Hasbaiya,Nabatieh
0,3,0,0,3,Kaoutariyet Es-Siyad,South
0,0,0,0,0,Karkha,South
0,0,0,0,0,Karm Saddeh,North
0,0,0,0,0,Karm Zebdine,Akkar
0,1,6,0,6,Ketermaya,Mount Lebanon
1,3,1,0,9,Keyfoun,Mount Lebanon
0,0,6,5,4,Kfar Aabida,North
0,0,0,0,0,Kfar Aamay,Mount Lebanon
0,1,2,2,7,Kfar Aaqab,Mount Lebanon
0,2,2,0,6,Kfar Aaqqa,North
3,18,5,0,9,Kfar Baal,Keserwan-Jbeil
0,0,0,0,0,Kfar Beit,South
0,0,0,0,0,Kfar Chellal,South
0,0,3,0,3,Kfar Chima,Mount Lebanon
0,1,1,0,7,Kfar Chouba,Nabatieh
0,0,0,0,0,Kfar Dane,Baalbek-Hermel
0,1,0,0,3,Kfar Denis,Beqaa
8,10,20,1,10,Kfar Dibiane,Keserwan-Jbeil
0,6,1,0,6,Kfar Dounine,Nabatieh
0,1,0,0,3,Kfar Falous,South
0,2,0,0,3,Kfar Faqoud,Mount Lebanon
0,0,0,0,0,Kfar Hamam,Nabatieh
0,5,0,0,3,Kfar Hatta Saida,South
0,2,2,0,6,Kfar Hay,North
0,0,1,0,3,Kfar Hazir,North
0,0,0,0,0,Kfar Heam,Mount Lebanon
0,8,15,2,7,Kfar Hilda,North
0,1,2,0,6,Kfar Houneh,South
1,0,1,0,6,Kfar Jreif,Keserwan-Jbeil
0,0,5,0,3,Kfar Kila,Nabatieh
0,2,2,0,6,Kfar Matta,Mount Lebanon
0,0,5,0,3,Kfar Melki Saida,South
0,3,0,0,3,Kfar Nabrakh,Mount Lebanon
0,0,1,0,3,Kfar Niss,Mount Lebanon
0,0,0,0,0,Kfar Qatra,Mount Lebanon
0,3,0,0,3,Kfar Qouq,Beqaa
1,2,3,0,9,Kfar Roummane,Nabatieh
0,0,0,0,3,Kfar Selouane,Mount Lebanon
1,0,6,0,6,Kfar Sir,Nabatieh
0,0,0,0,0,Kfar Tay El-Matn,Mount Lebanon
0,0,0,0,0,Kfar Tibnit,Nabatieh
0,0,0,0,0,Kfar michki,Beqaa
0,3,8,0,6,Kfardlaqous,North
0,3,0,0,6,Kfarfila,Nabatieh
0,0,2,0,3,Kfarfou,North
0,2,5,0,6,Kfarhata ,North
1,0,0,0,6,Kfarhata Zgharta,North
0,1,0,3,4,Kfarsghab,North
0,12,2,0,6,Kfartoun,Akkar
0,0,0,0,0,Kfaryachit,North
0,0,0,0,0,Kfarzaina,North
0,0,0,8,1,Kfoun,Keserwan-Jbeil
0,0,0,0,0,Kfour El-Aarbi,North
1,3,1,1,7,Kfour En-Nabatieh,Keserwan-Jbeil
0,5,0,0,6,Khalwat,Nabatieh
0,0,0,2,1,Kharbe,Keserwan-Jbeil
0,0,0,0,0,Khartoum,South
0,0,0,1,1,Khat el Petrol,Akkar
0,0,0,0,0,Khayayeb Saida,South
0,0,0,0,0,Khereibet Ech-Chouf,Mount Lebanon
0,1,2,0,6,Khinchara,Mount Lebanon
0,0,3,0,3,Khirbet Bisri,Mount Lebanon
0,3,4,1,7,Khirbet Char,Akkar
0,0,0,0,0,Khirbet Daoud Aakkar,Akkar
0,0,0,0,0,Khirbet Jord,Akkar
2,2,4,2,10,Khirbet Qanafar,Bekaa
0,0,0,0,0,Khirbet Rouha,Beqaa
0,10,7,3,7,Khirbet Selm,Nabatieh
2,5,3,0,9,Khiyam Marjaayoun,Nabatieh
0,1,2,0,6,Khodr Baalbek,Baalbek-Hermel
0,0,0,0,0,Khreibet Baabda,Mount Lebanon
0,6,0,0,3,Khreibet Ej-Jindi,Akkar
0,0,0,0,0,Khzaiz,South
0,0,0,0,0,Kleyleh,Mount Lebanon
0,0,0,0,0,Kneisset Aakkar,Akkar
0,0,0,0,0,Kneisset Ech-Chouf,Mount Lebanon
0,0,0,0,0,Kneisset Sour,South
0,8,1,0,6,Kouachra,Akkar
0,1,0,2,4,Kouakh,Baalbek-Hermel
0,2,2,0,6,Koueikhat,Akkar
1,2,2,0,9,Kounine,Nabatieh
0,0,0,1,1,Kour,North
0,1,5,0,6,Kousba,North
0,1,1,0,6,Kroum El-Aarab,Akkar
0,0,0,0,0,Laboueh,Baalbek-Hermel
5,15,10,0,9,Lala,Bekaa
0,0,0,0,0,Laqlouq,Keserwan-Jbeil
0,3,0,0,3,Lassa,Keserwan-Jbeil
0,0,1,0,3,Lebaa,South
0,0,3,1,4,Lehfed,Keserwan-Jbeil
0,0,0,0,0,Libbaya West Bekaa,Bekaa
0,0,0,0,0,Louayzet Jezzine,South
0,3,0,0,3,Loubieh,South
0,0,0,0,0,Maad,Keserwan-Jbeil
0,0,0,0,0,Maarab,Keserwan-Jbeil
0,0,0,0,0,Maaraboun,Baalbek-Hermel
0,20,3,0,6,Maarakeh,South
0,0,0,0,0,Maaroub,South
0,0,0,0,0,Maasrati,Mount Lebanon
2,5,10,5,10,Maasser Beit Ed-Dine,Mount Lebanon
0,0,0,0,0,Maasser Ech-Chouf,Mount Lebanon
0,2,0,0,3,Maaysra Kesrouane,Keserwan-Jbeil
0,3,5,0,6,Machghara,Bekaa
0,5,0,0,3,Machha,Akkar
0,0,1,0,3,Machmoucheh,South
0,5,0,0,3,Machta Hammoud,Akkar
0,4,0,0,3,Machta Hassan,Akkar
0,2,3,0,6,Maghdoucheh,South
0,2,0,0,3,Magher wbala,North
0,2,0,0,3,Mahrouna,South
0,0,0,0,0,Majdala,Akkar
0,0,0,0,0,Majdaloun,Baalbek-Hermel
0,0,0,0,0,Majdalouna,Mount Lebanon
0,11,3,0,6,Majdel,South
0,3,3,0,6,Majdel Baana,Mount Lebanon
0,0,0,0,0,Majdel Balhis,Beqaa
2,0,0,0,3,Majdel El-Aqoura,Keserwan-Jbeil
0,0,0,0,0,Majdel El-Meouch,Mount Lebanon
1,5,2,0,9,Majdel Selm,Nabatieh
0,0,0,0,0,Majdel el-Koura,North
0,0,0,0,0,Majdel tarchich,Mount Lebanon
0,0,1,0,3,Majdelyoun,South
0,7,0,0,3,Majdelzoun,South
0,1,0,0,3,Maknounet Jezzine,South
0,2,0,0,3,Malkiyah Village,South
0,2,0,0,3,Mansoura,Bekaa
0,1,0,1,4,Mansoura ,Akkar
0,0,0,0,0,Mansouri,South
0,1,0,0,3,Mansouriyet Bhamdoun,Mount Lebanon
0,2,2,0,6,Maqneh,Baalbek-Hermel
0,1,0,0,3,Mar Boutros Karm Et-Tine,Mount Lebanon
3,2,5,0,9,Mar Chaaya,Mount Lebanon
0,0,0,0,0,Mar Mama,North
0,0,0,0,3,Mar Moussa Ed-Douar,Mount Lebanon
0,0,0,0,0,Marj Barja,Mount Lebanon
0,2,0,0,3,Marj Ez-Zouhour (Haouch El-Qinnaabeh),Nabatieh
0,0,0,0,0,Marjaba,Mount Lebanon
0,0,0,0,0,Markaba,Nabatieh
0,0,0,0,0,Maroun Er-Ras,Nabatieh
0,4,0,0,3,Massaaoudiyeh,Akkar
0,0,0,0,0,Mayasseh,Mount Lebanon
0,0,0,0,0,Maydoun,Bekaa
0,0,1,0,3,Mayfadoun,Nabatieh
0,0,0,0,0,Mayfouq,Keserwan-Jbeil
0,1,10,0,6,Mayrouba,Keserwan-Jbeil
0,10,2,0,6,Mazareaa Jabal Akroum,Akkar
0,0,0,0,0,Mazraat Assaf,North
0,6,0,0,3,Mazraat Balda,Akkar
0,0,1,0,3,Mazraat Bani Saab,North
0,0,0,3,1,Mazraat Bani Sakher,Akkar
0,0,2,0,3,Mazraat Beit Ghattas,Akkar
0,0,0,0,0,Mazraat Ech-Chouf,Mount Lebanon
0,0,4,3,4,Mazraat El-Hdaira,Mount Lebanon
0,0,0,0,0,Mazraat El-Mathane,South
0,1,2,0,6,Mazraat Es-Dahr,Mount Lebanon
0,1,0,1,4,Mazraat Et-Teffah,North
0,4,0,0,3,Mazraat Ez-Zalloutiyeh,South
0,0,0,0,0,Mazraat Harkish,North
0,1,1,0,6,Mazraat Hokka,North
0,0,0,0,0,Mazraat Mechref,South
0,1,0,1,4,Mazraat Nahr Zgharta,North
0,0,0,0,0,Mazraat Swaidan,Baalbek-Hermel
1,1,0,0,6,Mazraat Yachouaa,Mount Lebanon
0,0,0,0,0,Mazraat beit Mchaik,Baalbek-Hermel
0,0,0,0,0,Mchaneh,Keserwan-Jbeil
0,0,0,0,0,Mcherfeh,Mount Lebanon
0,0,0,0,0,Mchikha,Mount Lebanon
0,0,0,0,0,Mdoukha,Beqaa
0,0,0,0,0,Mechref,Mount Lebanon
0,0,0,0,0,Mehmarch,North
0,0,0,0,0,Meimes,Nabatieh
0,0,8,0,3,Meiss Ej-Jabal,Nabatieh
0,0,0,0,0,Mejdlaiya,Mount Lebanon
0,10,0,0,3,Mejdlaiya Zgharta,North
0,0,0,0,0,Menneaa,Akkar
1,2,10,0,9,Meri,Nabatieh
0,0,0,0,0,Merouahine,South
1,6,3,0,9,Merouaniyeh,South
0,0,0,0,0,Metrit,North
0,3,1,0,6,Mghairiyeh Ech-Chouf,Mount Lebanon
0,0,0,0,0,Mghayreh Jbeil,Keserwan-Jbeil
0,0,0,0,0,Mhaibib,Nabatieh
0,2,0,0,3,Mhaiydseh Rachaya,Beqaa
0,0,3,0,3,Mhammaret,Akkar
0,0,1,0,3,Mharbiyeh,South
0,8,1,0,6,Michmich Jbeil,Keserwan-Jbeil
0,0,0,0,0,Midane Jezzine,South
0,5,5,1,7,Minyara,Akkar
0,7,0,0,6,Miriata,North
0,2,0,0,3,Miyeh ou Miyeh,South
1,4,4,0,9,Miziara,North
0,2,1,1,7,Mjaydel Jezzine,South
0,0,0,0,0,Mlikh,South
0,0,0,0,0,Mohtaqra,Mount Lebanon
0,4,0,0,3,Moqaylbeh,Akkar
0,0,3,0,3,Moqraq,Baalbek-Hermel
0,0,0,0,0,Moshrea,Mount Lebanon
0,3,0,0,3,Mouanse,Akkar
0,1,2,0,6,Moukhtara,Mount Lebanon
0,3,0,5,4,Mounjez,Akkar
0,0,0,0,0,Mounsef,Keserwan-Jbeil
0,0,2,1,4,Mqaiteaa,Akkar
0,0,1,0,3,Mrah El-Hbasse,South
0,0,1,6,4,Mrah Ez Ziyat,North
0,0,0,0,0,Mrah Kwakh,Akkar
0,0,0,0,0,Mraijat,Mount Lebanon
0,0,0,0,1,Mristi,Mount Lebanon
1,2,8,2,10,Mrouj,Mount Lebanon
0,0,10,0,3,Mtayleb,Mount Lebanon
0,0,0,0,0,Mtolleh,Mount Lebanon
0,0,0,0,0,Mzraat Kefraya,North
0,50,50,0,6,Nabatiyeh,Nabatieh
0,8,10,0,6,Nabatiyeh El-Faouka,Nabatieh
0,0,0,0,0,Nabay,Mount Lebanon
0,0,1,0,3,Nabha Ed-Damdoum,Baalbek-Hermel
4,15,15,20,10,Nabha Mehfara,Baalbek-Hermel
0,0,0,0,0,Nabha Qoudam,Baalbek-Hermel
0,8,11,0,6,Nabi Chit,Baalbek-Hermel
1,3,2,0,9,Nabi Osmane,Baalbek-Hermel
0,2,0,0,3,Nahleh Baalbek,Baalbek-Hermel
0,0,0,0,0,Nahmeh,Mount Lebanon
0,3,0,0,3,Nahr Ibrahim,Keserwan-Jbeil
0,3,0,0,3,Najjariyeh,South
0,0,1,0,3,Nakhleh,North
0,0,0,0,0,Naoura El-Faouqa,Akkar
0,0,0,0,0,Nfisseh,Akkar
0,4,0,2,4,Niha El-Chouf,Mount Lebanon
0,0,2,0,3,Nmairiyeh,Nabatieh
0,0,0,0,0,Ouada,Akkar
0,0,0,0,0,Ouadi Baanqoudaine,South
0,0,1,0,3,Ouadi Banhlay,Mount Lebanon
0,0,0,0,0,Ouadi Chahine,Mount Lebanon
0,0,0,0,0,Ouadi Chahrour El Aaoulia,Mount Lebanon
0,2,0,0,3,Ouadi Chahrour Es-Soufla,Mount Lebanon
0,1,1,0,6,Ouadi Ed-Deir,Mount Lebanon
0,0,0,0,0,Ouadi El-Haour,Akkar
0,0,0,0,0,Ouadi El-Karm El-Matn,Mount Lebanon
0,2,0,0,3,Ouadi El-Laymoun,South
0,0,0,0,0,Ouadi Es-Sitt,Mount Lebanon
0,0,0,0,0,Ouadi Faara,Baalbek-Hermel
0,5,7,4,7,Ouadi Khaled,Akkar
0,0,1,10,4,Ouadi Qannoubine,North
0,2,2,1,7,Ouardaniyeh,Mount Lebanon
0,0,0,0,0,Ouarhaniyeh,Mount Lebanon
0,0,0,0,0,Ouata El-Jaouz,Keserwan-Jbeil
0,4,6,7,7,Qaa Baalbek,Baalbek-Hermel
0,10,4,0,6,Qaaqaaiyet Ej-Jisr,Nabatieh
0,0,0,0,0,Qaaqaiyet Es-Snaoubar,South
0,0,0,0,0,Qaaqour,Mount Lebanon
0,3,5,0,6,Qabaait,Akkar
0,0,0,0,0,Qabrikha,Nabatieh
0,2,0,0,3,Qachlaq,Akkar
0,2,5,0,6,Qahmez,Keserwan-Jbeil
0,0,0,0,0,Qalaa,Mount Lebanon
0,0,0,0,0,Qalaouiyeh,Nabatieh
0,0,1,0,3,Qalhat,North
0,0,0,0,0,Qannebet Salima,Mount Lebanon
0,0,0,0,0,Qantara,Nabatieh
0,0,0,0,0,Qantarat Aakkar,Akkar
0,6,1,0,6,Qanya,Akkar
0,0,0,3,1,Qaouzah,Nabatieh
0,2,3,0,9,Qaraaoun,Bekaa
0,0,0,0,0,Qarah Bach,North
0,0,0,0,0,Qardaf,Akkar
0,0,0,0,0,Qarha,Akkar
0,0,0,0,0,Qarha Baalbek,Baalbek-Hermel
2,2,2,0,9,Qartaba,Keserwan-Jbeil
0,3,3,0,6,Qaser,Baalbek-Hermel
0,2,0,0,3,Qatrani,South
0,0,0,0,0,Qaynour,North
0,0,0,0,0,Qaytouleh,South
0,15,3,60,7,Qbaiyat Aakkar,Akkar
0,2,4,0,6,Qelaya,Bekaa
0,0,0,0,0,Qennabet Broummana,Mount Lebanon
0,2,2,0,6,Qennarit,South
0,0,0,0,0,Qild Es Sabea,Baalbek-Hermel
0,0,5,0,3,Qlaiaa,Nabatieh
0,0,0,0,0,Qlaileh Harfoush,Baalbek-Hermel
1,10,10,1,10,Qlaileh Sour,South
0,0,0,0,0,Qleiaat Aakkar,Akkar
0,3,14,0,6,Qleiaat Kesrouane,Keserwan-Jbeil
0,0,0,0,0,Qloud El-Baqieh,Akkar
0,1,1,0,6,Qmatiyeh,Mount Lebanon
0,0,0,1,1,Qnat,North
0,0,2,0,3,Qobbayaa,Mount Lebanon
0,3,1,0,6,Qornayel,Mount Lebanon
0,6,0,0,3,Qornet Aakkar,Akkar
0,0,0,0,0,Qornet El-Hamra,Mount Lebanon
0,2,0,0,3,Qortada,Mount Lebanon
0,0,0,0,0,Qoubber Chamra,Akkar
0,0,0,0,0,Qounaitra,South
0,0,0,0,0,Qraiyat,Akkar
1,1,1,0,9,Qraiyeh,Mount Lebanon
1,1,2,0,9,Qraiyet Jlayse,Keserwan-Jbeil
0,0,0,0,7,Qraiyet Saida,South
0,0,0,0,0,Qsaibet En-Nabatiyeh,Nabatieh
0,1,1,0,6,Qsarnaba,Baalbek-Hermel
0,0,1,0,3,Raachine,Keserwan-Jbeil
0,0,0,0,0,Rabb Et-Tlatine,Nabatieh
1,0,1,0,6,Rabieh,Mount Lebanon
0,3,6,2,7,Rachaaine,North
0,0,0,0,0,Rachaf,Nabatieh
0,1,0,1,4,Rachaiya El-Foukhar,Nabatieh
1,7,15,1,10,Rachaya El Wadi,Beqaa
0,0,0,0,3,Rafid Rachaya,Beqaa
0,10,2,0,6,Rahbeh,Akkar
0,0,0,0,0,Ram,Baalbek-Hermel
0,0,0,0,0,Ramlieh,Mount Lebanon
0,0,0,2,1,Ramyet Bent Jbeil,Nabatieh
3,1,2,0,9,Ras Baalbek Ech-Charqi,Baalbek-Hermel
0,0,0,0,0,Ras El Matn,Mount Lebanon
0,2,0,0,3,Ras El-Href,Mount Lebanon
0,0,0,0,0,Ras Kifa,North
5,10,30,0,9,Ras Masqa,North
0,0,0,0,0,Rasha,North
0,0,1,3,4,Rashana,North
0,0,0,0,0,Rawda Bekaa,Bekaa
3,20,20,0,9,Rayfoun,Keserwan-Jbeil
0,0,1,0,3,Rechdibbine,North
0,0,7,0,3,Richmaiya,Mount Lebanon
2,3,5,2,10,Rihan Jezzine,South
1,0,0,0,3,Rihana,Keserwan-Jbeil
0,0,1,0,3,Rihaniyet Aakkar,Akkar
0,0,0,0,0,Rijmeh,Mount Lebanon
0,0,2,5,4,Rimat,South
0,0,0,0,1,Rimhala,Mount Lebanon
0,4,0,0,3,Rmadiyeh,South
0,0,0,0,0,Rmaich,Nabatieh
2,0,5,0,6,Rmeilet Ech-Chouf,Mount Lebanon
0,0,0,1,1,Rouayssrt El-Ballout,Mount Lebanon
0,4,2,0,6,Roum,South
0,0,2,0,3,Roumieh,Mount Lebanon
0,3,3,0,6,Roumine,Nabatieh
0,0,0,0,0,Saadine,Akkar
0,0,0,0,0,Saaideh,Baalbek-Hermel
0,0,0,0,0,Sabbah,South
0,10,4,0,6,Sadiqine,South
0,0,0,0,0,Safad Al-Battikh,Nabatieh
4,0,4,0,6,Safra Kesrouane,Keserwan-Jbeil
2,2,4,0,9,Saghbine,Bekaa
0,0,0,0,0,Sahle,Akkar
2,15,30,0,9,Saida,South
0,5,3,0,6,Saksakiyeh,South
0,4,10,1,7,Salhiyet Saida,South
0,2,2,0,6,Salima Baabda,Mount Lebanon
0,0,0,0,0,Sammaqiyeh,Akkar
0,0,0,0,0,Sanaya,South
0,2,0,0,3,Saouanet Marjayoun,Nabatieh
0,0,0,0,0,Saoufar,Mount Lebanon
0,0,0,0,0,Sarafand,South
0,1,1,0,6,Sarba En-Nabatieh,Nabatieh
0,0,0,0,0,Sariita,Keserwan-Jbeil
0,10,5,0,6,Sarin Fawqa,Baalbek-Hermel
0,0,0,0,0,Sayssouq,Akkar
0,0,0,4,1,Sebaal Zgharta,North
0,0,0,0,0,Sehjoud,Baalbek-Hermel
0,0,0,0,0,Selaa,South
0,0,0,0,0,Selaata,North
0,1,1,0,6,Selfaya,Mount Lebanon
0,0,0,0,0,Semqaniyeh,Mount Lebanon
1,0,0,2,4,Seraal,North
0,0,0,0,0,Serraaine Et-Tahta,Baalbek-Hermel
1,1,1,0,9,Sfaray,South
0,0,0,0,0,Sfaynet El-Qaitaa,Akkar
0,0,1,0,3,Sfinet Ed-Draib,Akkar
5,15,34,0,9,Shawagheer El-Faouqa,Baalbek-Hermel
0,0,0,0,0,Shayleh Kesrouane,Keserwan-Jbeil
0,3,3,0,6,Sibline,Mount Lebanon
0,16,8,0,6,Sindianet Zeidane,Akkar
0,0,0,0,0,Sini,Nabatieh
3,25,25,0,9,Sinn El-Fil,Mount Lebanon
0,3,2,0,6,Sir El-Gharbiyeh,Nabatieh
0,0,0,2,1,Sirhmoul,Mount Lebanon
0,0,0,0,0,Sirjbal,Mount Lebanon
1,3,7,10,10,Sohmor,Bekaa
0,0,1,0,3,Soltan Yacoub el Aradi,Bekaa
0,0,0,0,0,Souairi,Bekaa
0,2,1,0,6,Souaisset Aakkar,Akkar
0,0,0,0,0,Soufaileh,Mount Lebanon
0,1,2,0,6,Soultaniyet Bent Jbeil,Nabatieh
0,0,0,0,0,Souq El-Gharb,Mount Lebanon
0,0,0,0,10,Sour,South
0,0,0,0,0,Srar,Akkar
0,0,0,0,0,Srayri,South
0,0,4,0,3,Srifa,South
0,0,0,0,0,Srobbine,Nabatieh
0,0,0,0,0,Taaid,South
0,0,0,0,0,Taazaniyeh,Mount Lebanon
0,0,0,0,0,Tabarja,Keserwan-Jbeil
0,0,0,0,0,Tahouitat El Ghadir,Mount Lebanon
0,2,0,0,3,Taibet Baalbek,Baalbek-Hermel
0,0,0,0,0,Tal Aabbas,Akkar
0,0,0,0,0,Talia,Baalbek-Hermel
0,2,3,0,6,Tall Aabbas Ech-Charqi,Akkar
0,0,0,0,0,Tall Bireh,Akkar
0,0,0,0,0,Tall Hmayra,Akkar
0,4,0,6,4,Tall Meaayan Tall Kiri,Akkar
0,0,0,0,0,Tall Znoub,Bekaa
0,0,0,0,0,Tallet Chattaha,Akkar
0,0,0,0,0,Talloussa,Nabatieh
1,0,3,0,6,Tanbourit,South
0,0,3,0,3,Tannoura,Beqaa
2,0,30,5,7,Tannourine El-Faouqa,North
0,2,0,0,3,Taraiya,Baalbek-Hermel
0,2,2,1,7,Tarchich,Mount Lebanon
0,1,1,0,6,Tartij,Keserwan-Jbeil
0,0,2,0,3,Tawfiqiya,Baalbek-Hermel
0,0,0,0,0,Taybet Matjaayoun,Nabatieh
0,20,1,30,7,Tayr Debbeh,South
0,3,0,0,3,Tayr Falsay,South
0,0,0,0,0,Tayr Harfa,South
0,4,1,0,6,Teffahta,South
0,0,3,0,3,Temnine El-Faouqa,Baalbek-Hermel
1,0,3,0,6,Temnine Et-Tahta,Baalbek-Hermel
1,0,5,2,7,Thoum,North
0,0,3,0,3,Tibnine,Nabatieh
0,12,4,0,6,Tikrit,Akkar
0,0,0,0,0,Tiri,Nabatieh
0,2,2,0,6,Tleil,Akkar
0,2,0,1,4,Toula,North
0,0,0,0,0,Toula El-Batroun,North
1,1,1,0,9,Touline,Nabatieh
0,5,0,0,3,Toura,South
0,0,0,0,0,Tshea,Akkar
1,3,2,1,10,Vidar,Keserwan-Jbeil
0,0,0,0,0,Wadi Jezzine,South
1,5,10,5,10,Yammouneh,Baalbek-Hermel
0,1,0,0,3,Yanouh Sour,South
0,2,1,0,6,Yanta,Beqaa
0,1,0,0,3,Yaroun,Nabatieh
0,3,2,0,6,Yater,Nabatieh
0,4,1,0,6,Yohmor En-Nabatiyeh,Nabatieh
0,3,5,0,6,Yohmor West Bekaa,Bekaa
0,0,0,0,0,Younine,Baalbek-Hermel
0,0,0,0,0,Zaaitreh,Keserwan-Jbeil
0,0,0,0,0,Zaarouriyeh,Mount Lebanon
0,0,0,0,0,Zabboud,Baalbek-Hermel
0,0,0,0,0,Zabbougha,Mount Lebanon
0,0,0,0,0,Zahra,Baalbek-Hermel
0,1,0,0,3,Zaitoun,Keserwan-Jbeil
0,0,1,0,3,Zakrit,Mount Lebanon
0,0,0,0,0,Zakroun,North
2,5,5,0,9,Zalqa,Mount Lebanon
0,0,1,0,3,Zandouqa,Mount Lebanon
0,0,0,0,0,Zaneh,North
0,1,0,0,3,Zaoutar Ech-Charqiyeh,Nabatieh
0,0,0,0,0,Zaoutar El-Gharbiyeh,Nabatieh
0,0,0,0,0,Zaraaoun,Mount Lebanon
0,1,0,0,3,Zebdine,Keserwan-Jbeil
0,0,0,0,0,Zebqine,South
1,0,10,1,7,Zefta,Nabatieh
0,0,0,0,0,Zeita,South
17,16,71,1,10,Zgharta-Ehden,North
0,0,0,0,0,Zhilta,South
0,0,2,0,3,Zibdine En-Nabatiyeh,Nabatieh
0,0,0,0,0,Zighrine,Mount Lebanon
0,0,0,0,0,Zilaya,Bekaa
0,2,0,0,3,Zouarib,Akkar
5,20,100,0,9,Zouk El-Kharab,Mount Lebanon
2,0,5,0,6,Zouk Mkayel,Keserwan-Jbeil
3,0,10,0,6,Zouk Mousbeh,Keserwan-Jbeil
0,3,0,0,3,Zouq El Hosniyeh,Akkar
0,0,0,0,0,Zouq El-Hadara,Akkar
0,0,0,0,0,Zouq El-Hbalsa,Akkar
0,10,5,0,6,Zrariyeh,South
0,0,0,0,0,Zrazeer,Baalbek-Hermel
0,0,1,0,3,aain Aalaq,Mount Lebanon
0,10,4,0,6,berqayel,Akkar
0,2,0,2,4,ebra wChouane,Keserwan-Jbeil
0,0,2,0,3,hadtoun,North
0,0,0,0,0,jouar Hasheesh,Baalbek-Hermel
0,1,3,2,7,mazboud,Mount Lebanon
1,3,2,0,9,shebaneye,Mount Lebanon
0,0,0,0,0,yahchouch,Keserwan-Jbeil
